,timestamp,item_id,spend,target_value
7869,1/21/2019 0:00,2.38433e+16,98.63,0
8454,1/21/2019 0:00,2.38433e+16,68.39,0
329524,1/21/2019 0:00,2.38433e+16,563.62,0
8189,1/21/2019 0:00,2.38433e+16,602.96,0
8190,1/21/2019 17:00,2.38433e+16,581.38,0
329525,1/21/2019 17:00,2.38433e+16,562.22,0
7870,1/21/2019 17:00,2.38433e+16,97.61,0
8455,1/21/2019 17:00,2.38433e+16,59.3,0
8456,1/22/2019 0:00,2.38433e+16,59.3,0
7871,1/22/2019 0:00,2.38433e+16,97.61,0
8191,1/22/2019 0:00,2.38433e+16,581.38,0
329526,1/22/2019 0:00,2.38433e+16,562.22,0
7872,1/22/2019 17:00,2.38433e+16,99.08,0
8192,1/22/2019 17:00,2.38433e+16,580.85,0
329527,1/22/2019 17:00,2.38433e+16,561.21,0
8457,1/22/2019 17:00,2.38433e+16,69.25,0
7873,1/23/2019 0:00,2.38433e+16,99.08,0
329528,1/23/2019 0:00,2.38433e+16,561.21,0
8193,1/23/2019 0:00,2.38433e+16,580.85,0
8458,1/23/2019 0:00,2.38433e+16,69.25,0
8194,1/23/2019 17:00,2.38433e+16,584.92,0
329529,1/23/2019 17:00,2.38433e+16,566.83,0
7874,1/23/2019 17:00,2.38433e+16,98.56,0
8459,1/23/2019 17:00,2.38433e+16,60.75,0
329530,1/24/2019 0:00,2.38433e+16,566.83,0
7875,1/24/2019 0:00,2.38433e+16,98.56,0
8460,1/24/2019 0:00,2.38433e+16,60.75,0
8195,1/24/2019 0:00,2.38433e+16,584.92,0
329531,1/24/2019 17:00,2.38433e+16,585.56,0
8461,1/24/2019 17:00,2.38433e+16,66.3,0
7876,1/24/2019 17:00,2.38433e+16,104.44,0
8196,1/24/2019 17:00,2.38433e+16,616.28,0
329532,1/25/2019 0:00,2.38433e+16,585.56,0
7877,1/25/2019 0:00,2.38433e+16,104.44,0
8197,1/25/2019 0:00,2.38433e+16,616.28,0
8462,1/25/2019 0:00,2.38433e+16,66.3,0
329533,1/25/2019 17:00,2.38433e+16,590.08,0
7878,1/25/2019 17:00,2.38433e+16,102.28,0
8198,1/25/2019 17:00,2.38433e+16,614.28,0
8463,1/25/2019 17:00,2.38433e+16,69.99,0
329534,1/26/2019 0:00,2.38433e+16,590.08,0
8464,1/26/2019 0:00,2.38433e+16,69.99,0
7879,1/26/2019 0:00,2.38433e+16,102.28,0
8199,1/26/2019 0:00,2.38433e+16,614.28,0
329535,1/26/2019 17:00,2.38433e+16,571.4,0
7880,1/26/2019 17:00,2.38433e+16,99.37,0
8200,1/26/2019 17:00,2.38433e+16,597.75,0
8465,1/26/2019 17:00,2.38433e+16,69.37,0
7881,1/27/2019 0:00,2.38433e+16,99.37,0
8201,1/27/2019 0:00,2.38433e+16,597.75,0
8466,1/27/2019 0:00,2.38433e+16,69.37,0
329536,1/27/2019 0:00,2.38433e+16,571.4,0
7882,1/27/2019 17:00,2.38433e+16,102.8,0
8202,1/27/2019 17:00,2.38433e+16,553.92,0
8467,1/27/2019 17:00,2.38433e+16,63.94,0
329537,1/27/2019 17:00,2.38433e+16,567.81,0
8203,1/28/2019 0:00,2.38433e+16,553.92,0
329538,1/28/2019 0:00,2.38433e+16,567.81,0
7883,1/28/2019 0:00,2.38433e+16,102.8,0
8468,1/28/2019 0:00,2.38433e+16,63.94,0
8469,1/28/2019 17:00,2.38433e+16,65.57,0
8204,1/28/2019 17:00,2.38433e+16,584.58,0
7884,1/28/2019 17:00,2.38433e+16,100.19,0
329539,1/28/2019 17:00,2.38433e+16,551.02,0
329540,1/29/2019 0:00,2.38433e+16,551.02,0
8205,1/29/2019 0:00,2.38433e+16,584.58,0
8470,1/29/2019 0:00,2.38433e+16,65.57,0
7885,1/29/2019 0:00,2.38433e+16,100.19,0
8471,1/29/2019 17:00,2.38433e+16,70.11,0
329541,1/29/2019 17:00,2.38433e+16,569.32,0
8206,1/29/2019 17:00,2.38433e+16,635.8,0
7886,1/29/2019 17:00,2.38433e+16,98.6,0
8153,1/3/2019 0:00,2.38433e+16,581.23,0
8418,1/3/2019 0:00,2.38433e+16,72.43,0
7833,1/3/2019 0:00,2.38433e+16,114.7,0
329489,1/3/2019 17:00,2.38433e+16,580.36,0
8154,1/3/2019 17:00,2.38433e+16,670.33,0
7834,1/3/2019 17:00,2.38433e+16,116.64,0
8419,1/3/2019 17:00,2.38433e+16,53.05,0
7887,1/30/2019 0:00,2.38433e+16,98.6,0
8207,1/30/2019 0:00,2.38433e+16,635.8,0
329542,1/30/2019 0:00,2.38433e+16,569.32,0
8472,1/30/2019 0:00,2.38433e+16,70.11,0
329543,1/30/2019 17:00,2.38433e+16,578.54,0
7888,1/30/2019 17:00,2.38433e+16,110.48,0
332360,1/30/2019 17:00,2.38433e+16,61.55,0
332480,1/30/2019 17:00,2.38433e+16,518.39,0
8208,1/30/2019 17:00,2.38433e+16,670.06,0
8473,1/30/2019 17:00,2.38433e+16,66.66,0
332481,1/31/2019 0:00,2.38433e+16,518.39,0
8209,1/31/2019 0:00,2.38433e+16,670.06,0
332361,1/31/2019 0:00,2.38433e+16,61.55,0
329544,1/31/2019 0:00,2.38433e+16,578.54,0
8474,1/31/2019 0:00,2.38433e+16,66.66,0
7889,1/31/2019 0:00,2.38433e+16,110.48,0
332482,1/31/2019 17:00,2.38433e+16,1687.79,0
332600,1/31/2019 17:00,2.38433e+16,770.89,0
333054,1/31/2019 17:00,2.38433e+16,758.8,0
8210,1/31/2019 17:00,2.38433e+16,597.06,0
329545,1/31/2019 17:00,2.38433e+16,569.1,0
7890,1/31/2019 17:00,2.38433e+16,97.17,0
332362,1/31/2019 17:00,2.38433e+16,212.16,0
332848,1/31/2019 17:00,2.38433e+16,573.74,0
8155,1/4/2019 0:00,2.38433e+16,670.33,0
329490,1/4/2019 0:00,2.38433e+16,580.36,0
8420,1/4/2019 0:00,2.38433e+16,53.05,0
7835,1/4/2019 0:00,2.38433e+16,116.64,0
8156,1/4/2019 17:00,2.38433e+16,658.56,0
7836,1/4/2019 17:00,2.38433e+16,115.12,0
8421,1/4/2019 17:00,2.38433e+16,67.74,0
329491,1/4/2019 17:00,2.38433e+16,591.63,0
8157,1/5/2019 0:00,2.38433e+16,658.56,0
7837,1/5/2019 0:00,2.38433e+16,115.12,0
8422,1/5/2019 0:00,2.38433e+16,67.74,0
329492,1/5/2019 0:00,2.38433e+16,591.63,0
7838,1/5/2019 17:00,2.38433e+16,98.11,0
8158,1/5/2019 17:00,2.38433e+16,694.53,0
329493,1/5/2019 17:00,2.38433e+16,599.08,0
8423,1/5/2019 17:00,2.38433e+16,68.66,0
329494,1/6/2019 0:00,2.38433e+16,599.08,0
7839,1/6/2019 0:00,2.38433e+16,98.11,0
8159,1/6/2019 0:00,2.38433e+16,694.53,0
8424,1/6/2019 0:00,2.38433e+16,68.66,0
8160,1/6/2019 17:00,2.38433e+16,695.01,0
8425,1/6/2019 17:00,2.38433e+16,59.52,0
7840,1/6/2019 17:00,2.38433e+16,96.86,0
329495,1/6/2019 17:00,2.38433e+16,589.66,0
8426,1/7/2019 0:00,2.38433e+16,59.52,0
329496,1/7/2019 0:00,2.38433e+16,589.66,0
7841,1/7/2019 0:00,2.38433e+16,96.86,0
8161,1/7/2019 0:00,2.38433e+16,695.01,0
329497,1/7/2019 17:00,2.38433e+16,581.95,0
7842,1/7/2019 17:00,2.38433e+16,101.22,0
8162,1/7/2019 17:00,2.38433e+16,636.67,0
8427,1/7/2019 17:00,2.38433e+16,65.38,0
8163,1/8/2019 0:00,2.38433e+16,636.67,0
8428,1/8/2019 0:00,2.38433e+16,65.38,0
7843,1/8/2019 0:00,2.38433e+16,101.22,0
329498,1/8/2019 0:00,2.38433e+16,581.95,0
8429,1/8/2019 17:00,2.38433e+16,64.17,0
7844,1/8/2019 17:00,2.38433e+16,98.38,0
8164,1/8/2019 17:00,2.38433e+16,559.21,0
329499,1/8/2019 17:00,2.38433e+16,604.66,0
7845,1/9/2019 0:00,2.38433e+16,98.38,0
329500,1/9/2019 0:00,2.38433e+16,604.66,0
8430,1/9/2019 0:00,2.38433e+16,64.17,0
8165,1/9/2019 0:00,2.38433e+16,559.21,0
8166,1/9/2019 17:00,2.38433e+16,543.53,0
329501,1/9/2019 17:00,2.38433e+16,615.18,0
7846,1/9/2019 17:00,2.38433e+16,101.18,0
8431,1/9/2019 17:00,2.38433e+16,60.79,0
8291,10/31/2018 17:00,2.38433e+16,57.8,0
8026,10/31/2018 17:00,2.38433e+16,732.53,0
7708,10/31/2018 17:00,2.38433e+16,65.41,0
8027,11/1/2018 0:00,2.38433e+16,732.53,0
8292,11/1/2018 0:00,2.38433e+16,57.8,0
7709,11/1/2018 0:00,2.38433e+16,65.41,0
7710,11/1/2018 17:00,2.38433e+16,101.32,0
8293,11/1/2018 17:00,2.38433e+16,105.66,0
8028,11/1/2018 17:00,2.38433e+16,645.53,0
7727,11/10/2018 0:00,2.38433e+16,107.43,0
8310,11/10/2018 0:00,2.38433e+16,384.23,0
8045,11/10/2018 0:00,2.38433e+16,602.26,0
7728,11/10/2018 17:00,2.38433e+16,108.79,0
8311,11/10/2018 17:00,2.38433e+16,383.21,0
8046,11/10/2018 17:00,2.38433e+16,596.51,0
8312,11/11/2018 0:00,2.38433e+16,383.21,0
8047,11/11/2018 0:00,2.38433e+16,596.51,0
7729,11/11/2018 0:00,2.38433e+16,108.79,0
8048,11/11/2018 17:00,2.38433e+16,587.26,0
8313,11/11/2018 17:00,2.38433e+16,389.52,0
7730,11/11/2018 17:00,2.38433e+16,69.34,0
7731,11/12/2018 0:00,2.38433e+16,69.34,0
8314,11/12/2018 0:00,2.38433e+16,389.52,0
8049,11/12/2018 0:00,2.38433e+16,587.26,0
8050,11/12/2018 17:00,2.38433e+16,560.47,0
7732,11/12/2018 17:00,2.38433e+16,113.1,0
8315,11/12/2018 17:00,2.38433e+16,351.74,0
7733,11/13/2018 0:00,2.38433e+16,113.1,0
8316,11/13/2018 0:00,2.38433e+16,351.74,0
8051,11/13/2018 0:00,2.38433e+16,560.47,0
8317,11/13/2018 17:00,2.38433e+16,5.07,0
8052,11/13/2018 17:00,2.38433e+16,490.21,0
7734,11/13/2018 17:00,2.38433e+16,110.85,0
8053,11/14/2018 0:00,2.38433e+16,490.21,0
7735,11/14/2018 0:00,2.38433e+16,110.85,0
8318,11/14/2018 0:00,2.38433e+16,5.07,0
8319,11/14/2018 17:00,2.38433e+16,15.52,0
8054,11/14/2018 17:00,2.38433e+16,415.54,0
7736,11/14/2018 17:00,2.38433e+16,107.77,0
7737,11/15/2018 0:00,2.38433e+16,107.77,0
8055,11/15/2018 0:00,2.38433e+16,415.54,0
8320,11/15/2018 0:00,2.38433e+16,15.52,0
8056,11/15/2018 17:00,2.38433e+16,382.31,0
8321,11/15/2018 17:00,2.38433e+16,107.65,0
7738,11/15/2018 17:00,2.38433e+16,110.44,0
7739,11/16/2018 0:00,2.38433e+16,110.44,0
8057,11/16/2018 0:00,2.38433e+16,382.31,0
8322,11/16/2018 0:00,2.38433e+16,107.65,0
8323,11/16/2018 17:00,2.38433e+16,112.04,0
8058,11/16/2018 17:00,2.38433e+16,423.59,0
7740,11/16/2018 17:00,2.38433e+16,121.52,0
8324,11/17/2018 0:00,2.38433e+16,112.04,0
8059,11/17/2018 0:00,2.38433e+16,423.59,0
7741,11/17/2018 0:00,2.38433e+16,121.52,0
8325,11/17/2018 17:00,2.38433e+16,124.2,0
7742,11/17/2018 17:00,2.38433e+16,104.42,0
8060,11/17/2018 17:00,2.38433e+16,461.24,0
8326,11/18/2018 0:00,2.38433e+16,124.2,0
7743,11/18/2018 0:00,2.38433e+16,104.42,0
8061,11/18/2018 0:00,2.38433e+16,461.24,0
8062,11/18/2018 17:00,2.38433e+16,440.59,0
8327,11/18/2018 17:00,2.38433e+16,118.63,0
7744,11/18/2018 17:00,2.38433e+16,105.81,0
8063,11/19/2018 0:00,2.38433e+16,440.59,0
8328,11/19/2018 0:00,2.38433e+16,118.63,0
7745,11/19/2018 0:00,2.38433e+16,105.81,0
8329,11/19/2018 17:00,2.38433e+16,83.2,0
8064,11/19/2018 17:00,2.38433e+16,373.34,0
7746,11/19/2018 17:00,2.38433e+16,87.73,0
7711,11/2/2018 0:00,2.38433e+16,101.32,0
8029,11/2/2018 0:00,2.38433e+16,645.53,0
8294,11/2/2018 0:00,2.38433e+16,105.66,0
8030,11/2/2018 17:00,2.38433e+16,620.22,0
7712,11/2/2018 17:00,2.38433e+16,103.43,0
8295,11/2/2018 17:00,2.38433e+16,102.71,0
8330,11/20/2018 0:00,2.38433e+16,83.2,0
8065,11/20/2018 0:00,2.38433e+16,373.34,0
7747,11/20/2018 0:00,2.38433e+16,87.73,0
8331,11/20/2018 17:00,2.38433e+16,110.18,0
7748,11/20/2018 17:00,2.38433e+16,114.21,0
8066,11/20/2018 17:00,2.38433e+16,468.78,0
8067,11/21/2018 0:00,2.38433e+16,468.78,0
8332,11/21/2018 0:00,2.38433e+16,110.18,0
7749,11/21/2018 0:00,2.38433e+16,114.21,0
7750,11/21/2018 17:00,2.38433e+16,110.9,0
8333,11/21/2018 17:00,2.38433e+16,113.98,0
8068,11/21/2018 17:00,2.38433e+16,456.7,0
8069,11/22/2018 0:00,2.38433e+16,456.7,0
8334,11/22/2018 0:00,2.38433e+16,113.98,0
7751,11/22/2018 0:00,2.38433e+16,110.9,0
8070,11/22/2018 17:00,2.38433e+16,563.84,0
7752,11/22/2018 17:00,2.38433e+16,114.86,0
8335,11/22/2018 17:00,2.38433e+16,115.07,0
7753,11/23/2018 0:00,2.38433e+16,114.86,0
8336,11/23/2018 0:00,2.38433e+16,115.07,0
8071,11/23/2018 0:00,2.38433e+16,563.84,0
8072,11/23/2018 17:00,2.38433e+16,650.93,0
8337,11/23/2018 17:00,2.38433e+16,123.1,0
7754,11/23/2018 17:00,2.38433e+16,118.07,0
8073,11/24/2018 0:00,2.38433e+16,650.93,0
8338,11/24/2018 0:00,2.38433e+16,123.1,0
7755,11/24/2018 0:00,2.38433e+16,118.07,0
7756,11/24/2018 17:00,2.38433e+16,106.7,0
8339,11/24/2018 17:00,2.38433e+16,130.37,0
8074,11/24/2018 17:00,2.38433e+16,650.54,0
8075,11/25/2018 0:00,2.38433e+16,650.54,0
7757,11/25/2018 0:00,2.38433e+16,106.7,0
8340,11/25/2018 0:00,2.38433e+16,130.37,0
7758,11/25/2018 17:00,2.38433e+16,109.42,0
8076,11/25/2018 17:00,2.38433e+16,557.11,0
8341,11/25/2018 17:00,2.38433e+16,116.0,0
7759,11/26/2018 0:00,2.38433e+16,109.42,0
8077,11/26/2018 0:00,2.38433e+16,557.11,0
8342,11/26/2018 0:00,2.38433e+16,116.0,0
8343,11/26/2018 17:00,2.38433e+16,110.01,0
7760,11/26/2018 17:00,2.38433e+16,101.82,0
8078,11/26/2018 17:00,2.38433e+16,410.74,0
7761,11/27/2018 0:00,2.38433e+16,101.82,0
8344,11/27/2018 0:00,2.38433e+16,110.01,0
8079,11/27/2018 0:00,2.38433e+16,410.74,0
8080,11/27/2018 17:00,2.38433e+16,476.57,0
8345,11/27/2018 17:00,2.38433e+16,132.57,0
7762,11/27/2018 17:00,2.38433e+16,128.28,0
7763,11/28/2018 0:00,2.38433e+16,128.28,0
8081,11/28/2018 0:00,2.38433e+16,476.57,0
8346,11/28/2018 0:00,2.38433e+16,132.57,0
8347,11/28/2018 17:00,2.38433e+16,126.59,0
7764,11/28/2018 17:00,2.38433e+16,106.42,0
8082,11/28/2018 17:00,2.38433e+16,513.7,0
8083,11/29/2018 0:00,2.38433e+16,513.7,0
8348,11/29/2018 0:00,2.38433e+16,126.59,0
7765,11/29/2018 0:00,2.38433e+16,106.42,0
8084,11/29/2018 17:00,2.38433e+16,543.33,0
7766,11/29/2018 17:00,2.38433e+16,96.4,0
8349,11/29/2018 17:00,2.38433e+16,109.33,0
8031,11/3/2018 0:00,2.38433e+16,620.22,0
7713,11/3/2018 0:00,2.38433e+16,103.43,0
8296,11/3/2018 0:00,2.38433e+16,102.71,0
7714,11/3/2018 17:00,2.38433e+16,111.4,0
8032,11/3/2018 17:00,2.38433e+16,651.51,0
8297,11/3/2018 17:00,2.38433e+16,106.67,0
8350,11/30/2018 0:00,2.38433e+16,109.33,0
8085,11/30/2018 0:00,2.38433e+16,543.33,0
7767,11/30/2018 0:00,2.38433e+16,96.4,0
7768,11/30/2018 17:00,2.38433e+16,93.88,0
