20190901 184300;1.099090;1.099130;1.099080;1.099130;0
20190901 184400;1.099140;1.099160;1.099100;1.099160;0
20190901 184500;1.099160;1.099230;1.099160;1.099220;0
20190901 184600;1.099200;1.099200;1.099170;1.099170;0
20190901 184700;1.099170;1.099170;1.099140;1.099140;0
20190901 184800;1.099140;1.099140;1.099080;1.099090;0
20190901 184900;1.099090;1.099140;1.099080;1.099110;0
20190901 185000;1.099120;1.099160;1.099090;1.099160;0
20190901 185100;1.099160;1.099180;1.099080;1.099170;0
20190901 185200;1.099160;1.099230;1.099160;1.099190;0
20190901 185300;1.099210;1.099230;1.099180;1.099230;0
20190901 185400;1.099220;1.099220;1.099170;1.099180;0
20190901 185500;1.099180;1.099180;1.099130;1.099130;0
20190901 185600;1.099110;1.099130;1.099020;1.099080;0
20190901 185700;1.099080;1.099200;1.099080;1.099200;0
20190901 185800;1.099200;1.099260;1.099200;1.099210;0
20190901 185900;1.099210;1.099220;1.099190;1.099190;0
20190901 190000;1.099150;1.099250;1.099150;1.099210;0
20190901 190100;1.099230;1.099240;1.099190;1.099190;0
20190901 190200;1.099200;1.099200;1.099190;1.099190;0
20190901 190300;1.099190;1.099290;1.099190;1.099290;0
20190901 190400;1.099300;1.099440;1.099300;1.099400;0
20190901 190500;1.099390;1.099400;1.099330;1.099360;0
20190901 190600;1.099360;1.099360;1.099260;1.099330;0
20190901 190700;1.099330;1.099330;1.099240;1.099240;0
20190901 190800;1.099240;1.099310;1.099240;1.099260;0
20190901 190900;1.099260;1.099260;1.099180;1.099190;0
20190901 191000;1.099190;1.099200;1.099190;1.099200;0
20190901 191100;1.099180;1.099180;1.099080;1.099090;0
20190901 191200;1.099100;1.099190;1.099100;1.099130;0
20190901 191300;1.099120;1.099140;1.099070;1.099070;0
20190901 191400;1.099060;1.099080;1.099010;1.099050;0
20190901 191500;1.099050;1.099060;1.099030;1.099030;0
20190901 191600;1.099010;1.099030;1.099000;1.099010;0
20190901 191700;1.099010;1.099030;1.098990;1.098990;0
20190901 191800;1.099020;1.099020;1.098990;1.099000;0
20190901 191900;1.099000;1.099000;1.098980;1.099000;0
20190901 192000;1.099000;1.099070;1.099000;1.099040;0
20190901 192100;1.099040;1.099040;1.099000;1.099020;0
20190901 192200;1.099040;1.099040;1.099020;1.099030;0
20190901 192300;1.099040;1.099040;1.098980;1.099020;0
20190901 192400;1.099020;1.099070;1.098990;1.099010;0
20190901 192500;1.099020;1.099060;1.099020;1.099040;0
20190901 192600;1.099030;1.099050;1.098990;1.099000;0
20190901 192700;1.098990;1.099030;1.098980;1.099010;0
20190901 192800;1.098990;1.099040;1.098990;1.099020;0
20190901 192900;1.099000;1.099050;1.098990;1.099050;0
20190901 193000;1.099050;1.099050;1.098990;1.099000;0
20190901 193100;1.099000;1.099050;1.098990;1.099040;0
20190901 193200;1.099050;1.099110;1.099040;1.099080;0
20190901 193300;1.099070;1.099100;1.099010;1.099010;0
20190901 193400;1.099020;1.099060;1.098990;1.099000;0
20190901 193500;1.099020;1.099050;1.098980;1.098980;0
20190901 193600;1.098970;1.099010;1.098970;1.099000;0
20190901 193700;1.099000;1.099020;1.098970;1.098980;0
20190901 193800;1.098980;1.099000;1.098960;1.099000;0
20190901 193900;1.099000;1.099120;1.099000;1.099050;0
20190901 194000;1.099050;1.099150;1.099000;1.099140;0
20190901 194100;1.099130;1.099150;1.099050;1.099050;0
20190901 194200;1.099060;1.099110;1.099050;1.099090;0
20190901 194300;1.099080;1.099080;1.099050;1.099050;0
20190901 194400;1.099050;1.099120;1.099050;1.099100;0
20190901 194500;1.099100;1.099120;1.099090;1.099120;0
20190901 194600;1.099110;1.099120;1.099090;1.099090;0
20190901 194700;1.099110;1.099120;1.099100;1.099110;0
20190901 194800;1.099120;1.099120;1.099090;1.099090;0
20190901 194900;1.099090;1.099090;1.099090;1.099090;0
20190901 195000;1.099100;1.099200;1.099100;1.099150;0
20190901 195100;1.099150;1.099170;1.099140;1.099170;0
20190901 195200;1.099170;1.099240;1.099170;1.099240;0
20190901 195300;1.099230;1.099230;1.099190;1.099190;0
20190901 195400;1.099190;1.099230;1.099190;1.099190;0
20190901 195500;1.099200;1.099220;1.099120;1.099130;0
20190901 195600;1.099140;1.099150;1.099130;1.099150;0
20190901 195700;1.099150;1.099170;1.099140;1.099140;0
20190901 195800;1.099130;1.099130;1.099100;1.099100;0
20190901 195900;1.099100;1.099100;1.099040;1.099040;0
20190901 200000;1.099030;1.099040;1.098990;1.099010;0
20190901 200100;1.099010;1.099100;1.099000;1.099090;0
20190901 200200;1.099090;1.099120;1.099000;1.099000;0
20190901 200300;1.099010;1.099040;1.098990;1.099040;0
20190901 200400;1.099020;1.099040;1.099010;1.099010;0
20190901 200500;1.099010;1.099010;1.098990;1.098990;0
20190901 200600;1.098990;1.099070;1.098970;1.099060;0
20190901 200700;1.099050;1.099090;1.099050;1.099090;0
20190901 200800;1.099090;1.099090;1.098980;1.098990;0
20190901 200900;1.099000;1.099080;1.098960;1.099060;0
20190901 201000;1.099060;1.099110;1.099060;1.099070;0
20190901 201100;1.099060;1.099090;1.098940;1.098940;0
20190901 201200;1.098960;1.099010;1.098960;1.098980;0
20190901 201300;1.098990;1.098990;1.098970;1.098990;0
20190901 201400;1.098990;1.099000;1.098940;1.098960;0
20190901 201500;1.098960;1.098960;1.098820;1.098820;0
20190901 201600;1.098850;1.098870;1.098790;1.098790;0
20190901 201700;1.098780;1.098810;1.098770;1.098810;0
20190901 201800;1.098800;1.098800;1.098750;1.098760;0
20190901 201900;1.098780;1.098790;1.098780;1.098790;0
20190901 202000;1.098790;1.098790;1.098780;1.098790;0
20190901 202100;1.098780;1.098790;1.098770;1.098770;0
20190901 202200;1.098780;1.098820;1.098770;1.098780;0
20190901 202300;1.098770;1.098830;1.098770;1.098830;0
20190901 202400;1.098830;1.098940;1.098800;1.098940;0
20190901 202500;1.098940;1.099000;1.098940;1.098990;0
20190901 202600;1.098990;1.099050;1.098940;1.099030;0
20190901 202700;1.099030;1.099060;1.099030;1.099040;0
20190901 202800;1.099050;1.099060;1.098960;1.098960;0
20190901 202900;1.098970;1.098990;1.098880;1.098940;0
20190901 203000;1.098940;1.098950;1.098940;1.098950;0
20190901 203100;1.098950;1.098980;1.098940;1.098980;0
20190901 203200;1.098960;1.099060;1.098950;1.099040;0
20190901 203300;1.099050;1.099050;1.098990;1.099000;0
20190901 203400;1.098990;1.099090;1.098990;1.099060;0
20190901 203500;1.099060;1.099120;1.099050;1.099060;0
20190901 203600;1.099070;1.099090;1.099050;1.099050;0
20190901 203700;1.099040;1.099060;1.098980;1.098980;0
20190901 203800;1.098990;1.099010;1.098910;1.098950;0
20190901 203900;1.098950;1.098950;1.098900;1.098930;0
20190901 204000;1.098930;1.098970;1.098890;1.098910;0
20190901 204100;1.098890;1.098890;1.098840;1.098840;0
20190901 204200;1.098830;1.098930;1.098820;1.098910;0
